Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C28, C5, C9",0603,5,10uF,C19702
"C10, C6, C7",0402,3,4.7uF,C23733
"C11, C12, C13, C14, C15, C16, C17, C18, C2, C22, C32, C33, C34, C35, C36, C8",0402,16,100nF,C1525
"C20, C21, C23, C24, C25, C26, C30, C31, C37, C38",0402,10,1uF,C52923
"C27, C29, C39",0603,3,4.7uF,C69335
"C3, C4",0402,2,15pF,C1548
C40,0402,1,4.7uF,C1548
"D1, D11, D2, D3",D_SOD-123,4,MBR0530,C5204746
"D10, D5, D6, D7, D8, D9",LED_WS2812B-2020_PLCC4_2.0x2.0mm,6,WS2812B-2020,C5349955
D4,0603,1,LED,C2286
J1,SDCardlcsc,1,Micro_SD_Card,C5454948
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,C2765186
L1,L_pol_2016,1,3.3u,C42411119
L2,L_APV_ANR4018,1,10uH 1A,C167808
Q2,SOT-23,1,AO3401A,C15127
Q3,SOT-23,1,IRLML2060,C5122027
"R1, R13",0402,2,10k,C25744 
"R10, R14",0402,2,1.5k,C25867 
"R11, R15",0402,2,470,C25117
R12,0402,1,0.47,C3017627
R16,0402,1,33,C25105
"R2, R4, R6",0402,3,1k,C11702
"R3, R5, R9",0402,3,5.1k,C25905 
"R7, R8",0402,2,27,C25105
"SW1, SW2, SW3, SW4, SW5, SW6",SW_Push_SPST_TSA016,6,SW_Push,C2888430
U1,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350A,C42411118
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C6186
U3,SOT-23-6,1,SRV05-4,C85364
U4,LCSC_1x24-1MP_P0.5mm_Horizontal,1,Conn,C262567
U5,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U6,SOP-8_3.9x4.9mm_P1.27mm-TP,1,TP4056-42-ESOP8,C16581
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz 10pf,C20625731
