Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C5",0603,3,10u,C19702
"C10, C6, C7",0402,3,4.7u,C23733
"C11, C12, C13, C14, C15, C16, C17, C18, C2, C8",0402,10,100n,C1525
"C3, C4",0402,2,15p,C1548
C40,0402,1,4.7uF,C23733
J1,SDCardlcsc,1,Micro_SD_Card,C5454948
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,C2765186
J3,PCIe_x4_Edgeboard_Connector,1,Bus_PCI_Express_x4,C2832353
L1,L_pol_2016,1,3.3u,C42411119
R1,0402,1,10k,C25744
R16,0402,1,33,C25105
"R2, R4, R6",0402,3,1k,C11702
"R3, R5",0402,2,5.1k,C25905 
"R7, R8",0402,2,27,C25105
"SW1, SW2",SW_Push_SPST_TSA016,2,SW_Push,C2888430
U1,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm_ThermalVias,1,~,C42411118
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C6186
U3,SOT-23-6,1,SRV05-4,C85364
U5,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz 10pf,C20625731
