Designator,Mid X,Mid Y,Rotation,Layer
C1,161.875,-116.725,90.0,top
C10,146.64,-139.64,270.0,top
C11,151.625,-133.775,0.0,top
C12,148.8,-139.48,270.0,top
C13,151.025,-131.85,0.0,top
C14,151.625,-134.7,0.0,top
C15,140.9,-135.65,180.0,top
C16,143.9,-139.55,270.0,top
C17,140.925,-131.55,180.0,top
C18,145.45,-129.225,90.0,top
C19,161.875,-121.175,270.0,top
C2,141.82,-124.17,180.0,top
C3,144.0,-141.05,180.0,top
C4,146.8,-141.05,0.0,top
C40,150.4,-130.2,0.0,top
C5,162.625,-118.95,0.0,top
C6,148.0,-129.875,0.0,top
C7,148.0,-128.95,0.0,top
C8,140.325,-133.65,180.0,top
J1,162.0,-131.4,90.0,top
J2,145.7,-116.11,180.0,top
J3,142.92,-150.26,0.0,top
L1,148.0,-127.175,0.0,top
R1,137.7,-124.16,180.0,top
R16,150.4,-129.256866,180.0,top
R2,145.71,-139.64,270.0,top
R3,148.42,-121.35,0.0,top
R4,147.75,-139.55,270.0,top
R5,143.19,-121.36,180.0,top
R6,136.15,-131.4,270.0,top
R7,145.09,-127.075,270.0,top
R8,146.025,-127.075,270.0,top
SW1,137.25,-134.95,270.0,top
SW2,149.9,-143.15,270.0,top
U1,146.0,-134.45,90.0,top
U2,156.75,-119.65,0.0,top
U3,145.9875,-123.41,90.0,top
U5,139.8375,-127.54,270.0,top
Y1,145.4,-143.3,0.0,top
